,Brands,Colors,Battery,Price,Original_price,Rating,Total_reviews,Discount
146,triggr,gotham black,34,799,3999,4.0,10320,80
147,truke,blue,60,799,2999,4.0,27432,73
148,boult,derby,100,1299,5999,4.1,127008,78
149,boat,electric blue,40,999,2490,4.0,1257788,59
150,triggr,blaze white,40,699,2999,4.0,42330,76
151,truke,black,50,799,2499,4.0,16338,68
152,triggr,olive tangerine,40,599,2999,4.0,42330,80
153,boat,dawn blue,34,1199,6990,4.0,1946756,82
154,boat,gunmetal black,34,2999,17990,4.0,1159,83
155,noise,carbon black,50,1099,3999,4.1,2488,72
156,hoppup,blue,40,599,3999,4.1,49895,85
157,boult,powder blue,60,999,5999,4.1,73945,83
158,boult,blue ice,50,899,2499,4.1,11109,64
159,hoppup,blue,34,699,4999,4.1,5762,86
160,aroma,electric white,50,479,2999,4.0,538,84
161,boult,white opal,48,1199,3499,4.1,121538,65
162,mi,bass black,30,1099,2999,4.1,7532,63
163,boat,northern lights,34,2299,13990,4.2,86985,83
164,boult,white,60,1299,3999,4.0,88,67
165,aroma,white,60,493,2899,4.0,538,82
166,noise,midnight blue,50,799,2999,4.0,599132,73
167,triggr,army green,34,799,3999,4.0,10320,80
168,boat,coco brown,34,999,5490,4.0,138188,81
169,triggr,black,40,799,3999,4.0,12491,80
170,boult,ivory white,48,899,2999,4.1,131863,70
171,aroma,electric blue,50,479,2999,4.0,538,84
172,noise,celeste blue,50,799,2999,4.0,599132,73
173,boat,white,50,1199,6999,4.0,1257788,82
174,noise,stone beige,50,1099,3999,4.1,2488,72
175,truke,black,30,899,3499,4.0,84708,74
176,triggr,black,34,799,3999,4.0,58526,80
177,boult,electric black,48,899,2999,4.1,131863,70
178,truke,sunset black,60,999,3499,4.1,3204,71
179,sony,black,34,3990,8990,4.2,432,55
180,aroma,galaxy black,60,493,2899,4.0,538,82
181,aroma,electric black,50,479,2999,4.0,538,84
182,triggr,snow carmine,34,799,3999,4.0,10320,80
183,number,glass blue,34,799,4999,4.0,21378,84
184,realme,deep sea blue,34,2499,5999,4.3,40645,58
185,aroma,galaxy blue,60,493,2899,4.0,538,82
186,aroma,electric green,50,479,2999,4.0,538,84
187,boult,glacier blue,35,899,2499,4.1,169713,64
188,noise,snow white,45,999,2499,4.1,32834,60
189,triggr,army green,34,799,3999,4.0,58526,80
190,hoppup,red,34,799,4999,4.0,4324,84
191,boult,powder blue,60,999,5999,4.1,73945,83
192,vivo,dark indigo,34,1899,2499,4.1,5819,24
193,boat,active teal,34,1199,6990,4.0,1946756,82
194,boat,metallic grey,50,1399,6490,4.1,112128,78
195,truke,metal black,68,799,2999,4.0,84708,73
196,boult,lavender,48,799,2999,4.1,460,73
197,triggr,jungle green,40,599,2999,4.0,42330,80
198,noise,space blue,45,999,2499,4.1,32834,60
199,moto,coral peach,42,1999,7999,4.1,7312,75
200,aroma,electric white,50,479,2999,4.0,538,84
201,boult,white opal,48,1199,3499,4.1,121538,65
202,truke,sunset orange,60,999,3499,4.1,3204,71
203,hoppup,black grey,34,899,5999,4.0,1242,85
204,realme,royal violet,34,3299,5999,4.4,16174,45
205,hoppup,red,34,799,4999,4.0,4324,84
206,noise,midnight blue,50,799,2999,4.0,599132,73
207,triggr,army green,34,799,3999,4.0,10320,80
208,boat,cherry blossom,60,729,2990,4.0,1946756,75
209,sony,black,20,6990,12990,4.1,966,46
210,boult,ivory white,48,899,2999,4.1,131863,70
211,aroma,electric blue,50,479,2999,4.0,538,84
212,truke,black,72,1099,3999,4.0,74258,72
213,number,glass beige,34,899,4999,4.0,21378,82
214,sony,blue,34,3990,8990,4.2,432,55
215,boat,white sabre,40,999,5990,4.2,2375,83
216,triggr,black,34,799,3999,4.0,58526,80
217,boult,electric black,48,899,2999,4.1,131863,70
218,boult,white,48,799,2999,4.1,460,73
219,boat,black sabre,40,1499,3499,4.1,3635,57
220,aroma,galaxy black,60,493,2899,4.0,538,82
221,aroma,white,60,493,2899,4.0,538,82
222,hoppup,white,34,699,4999,4.1,5762,86
223,mi,fusion white,34,2199,4999,4.1,7532,56
224,oneplus,minty green,34,4699,6499,4.5,30275,27
225,vivo,bright white,34,1899,2499,4.1,5819,24
226,aroma,electric black,50,479,2999,4.0,538,84
227,aroma,electric green,50,479,2999,4.0,538,84
228,boult,black,60,1299,3999,4.0,88,67
229,mi,fusion black,34,2199,4999,4.1,7532,56
230,boult,glacier blue,35,899,2499,4.1,169713,64
231,boult,powder blue,60,999,5999,4.1,73945,83
232,boat,interstellar black,34,1599,6490,4.1,9693,75
233,nothing,yellow,34,6499,9999,4.3,2171,35
234,hoppup,cobalt blue,34,799,4999,4.0,4324,84
235,boat,gunmetal white,34,2999,17990,4.0,1159,83
236,boult,lavender,48,799,2999,4.1,460,73
237,triggr,jungle green,40,599,2999,4.0,42330,80
238,sony,black,20,10990,24990,4.1,515,56
239,mivi,space black,34,3999,6999,4.4,21,42
240,aroma,electric white,50,479,2999,4.0,538,84
241,boult,white opal,48,1199,3499,4.1,121538,65
242,hoppup,white,50,799,4999,4.1,28538,84
243,nu,black/yellow,64,899,3999,4.7,157,77
244,ptron,brown,34,699,2899,4.0,235,75
245,mivi,popsicle peach,34,1099,5999,4.3,10527,81
246,noise,midnight blue,50,799,2999,4.0,599132,73
247,triggr,army green,34,799,3999,4.0,10320,80
248,triggr,indigo honey,40,599,2999,4.0,42330,80
249,hoppup,chocolate brown,40,599,3999,4.1,49895,85
250,boult,ivory white,48,899,2999,4.1,131863,70
251,aroma,electric blue,50,479,2999,4.0,538,84
252,samsung,white,34,5555,12999,4.2,124,57
253,house,white,34,389,1999,4.0,47,80
254,sony,silver,34,22990,29990,4.2,349,23
255,lava,blue,34,1249,2499,4.1,15,50
256,triggr,black,34,799,3999,4.0,58526,80
257,boult,electric black,48,899,2999,4.1,131863,70
258,bose,black,34,25900,4739,4.2,857,69
259,noise,calm beige,50,1399,3499,4.0,7243,60
260,aroma,galaxy black,60,493,2899,4.0,538,82
261,aroma,white,60,493,2899,4.0,538,82
262,noise,black,34,999,3999,4.0,1093,75
263,sony,sage green,20,6990,12990,4.1,966,46
264,boat,viper green,60,999,2990,4.0,1946756,66
265,number,black dune,66,1299,7999,4.1,2034,83
266,aroma,electric black,50,479,2999,4.0,538,84
267,aroma,electric green,50,479,2999,4.0,538,84
268,truke,mintgreen,48,799,2499,4.0,12224,68
269,nu,yellow,60,1599,4999,4.6,115,68
270,boult,glacier blue,35,899,2499,4.1,169713,64
271,hoppup,red,34,799,4999,4.0,4324,84
272,mivi,topaz white,34,999,4999,4.0,11389,80
273,sony,white,34,3990,8990,4.2,432,55
274,mivi,iconic black,34,1499,6499,4.0,440,76
275,mivi,emerald green,34,999,4999,4.0,11389,80
276,boult,powder blue,60,999,5999,4.1,73945,83
277,boult,lavender,48,799,2999,4.1,460,73
278,realme,sunrise beige,34,4999,7999,4.4,21855,37
279,ptron,black,40,699,2899,4.1,678,75
280,aroma,electric white,50,479,2999,4.0,538,84
281,boult,white opal,48,1199,3499,4.1,121538,65
282,oppo,moonlight,34,1799,3999,4.3,419045,55
283,vmv,black,48,420,1499,4.0,8,71
284,boat,gunmetal black,34,6490,4739,4.0,2216,69
285,sennheiser,black copper,34,19990,29990,4.0,58,33
286,noise,midnight blue,50,799,2999,4.0,599132,73
287,triggr,army green,34,799,3999,4.0,10320,80
288,jabra,gloss black,34,19999,20999,4.2,33,4
289,bose,black,34,17990,18990,4.2,599,5
290,boult,ivory white,48,899,2999,4.1,131863,70
291,aroma,electric blue,50,479,2999,4.0,538,84
292,triggr,blue,34,1099,3999,4.2,2384,72
